Gene_ID	0	1	2	3	4	5	6	7	8	9
A1BG	0.1120398724334772	0.05817347155851187	0.04647292176732348	0.14110984163422705	0.07379714266004105	0.05301116147543696	0.05688938077368255	0.06458363663526287	0.1113054216229354	0.09067591098931543
A2M	0.15071048820986382	0.1217460058360408	0.12902685924145835	0.1217116858050634	0.102992356854872	0.07122016539681515	0.06420971551424193	0.13541266604554916	0.08586975551779254	0.2455538595605465
AAAS	0.051247899901653834	0.06736220324439741	0.05748201161914455	0.10049923527244548	0.06377641695626626	0.058071440614946575	0.03239139273529421	0.21961570156641655	0.06532715683777887	0.06401117781588375
AACS	0.1882482090788651	0.2620539570155793	0.20359038847715932	0.16799140520444225	0.12272979990108328	0.16027176052998246	0.09964353292184093	0.15751572536143196	0.17288246125738024	0.22384529843609546
AAK1	0.13638152249055516	0.09628172569867756	0.1840127406190755	0.10547496777022188	0.15959559638413598	0.2975895357309121	0.08047593027539461	0.14595777587229064		0.13390882116851505
AAMDC	0.14105857249082862	0.1914635137097807	0.09255126937020768	0.2009692322413276	0.1686237906823813	0.19422519271863228	0.15215740152993268	0.2215083603985488	0.14596811270280166	0.08151125888837027
AAMP	0.08446254559512874	0.2388384545976319	0.22109841979059694	0.2895063631082598	0.20485501403656572	0.2001995702658803	0.3073184404668893	0.1617306299792846	0.19078407116328808	0.2547970420276985
AAR2	0.2521866257468676	0.17065306464165886	0.12866181131999468	0.19796035552815708	0.10966968061712014	0.1248913380776646	0.21009226031186226	0.13123212132006548	0.1682099398495029	0.18074897649618893
AARS	0.09175105295816297	0.1640925480216229	0.11998628219100944	0.3160486149215637	0.1749635353629944	0.020955510678937517	0.1254583120617925	0.2473233152150293	0.11607984656281245	0.19691926264314133
AARS2	0.09380124001481464	0.1127922169155362	0.10706278370997313	0.13418524354763225	0.058386095007304725	0.07761080066692545	0.097418671742076	0.12035595448842733	0.14122785770637267	0.0793893321485208
AARSD1	0.17437708429163365	0.12227275288762615	0.15047876386558812	0.1633457162654686	0.08732833919190244	0.19587731985120835	0.17676472054993386	0.1232709324054312	0.15232417294303008	0.2270347397720183
AASDHPPT	0.1057458657575104	0.08703021115090101	0.10359792708426437	0.1130106871701675	0.10605821960062296	0.0688355585771025	0.07895482938584777	0.1617417588241042	0.06270344585727361	0.07235303150024015
AASS	0.05864503902701504	0.16895041798850224	0.11215944889743948	0.2568795610654919	0.11632744669563415	0.10203798288955067	0.16491733601804578	0.1254041962511591	0.10693711464917527	0.14373203606154664
AATF	0.16699002603443355	0.17797780645531208	0.17617079737517918	0.14584913636316738	0.13354486248293276	0.11517593679412608	0.06884255102412823	0.05651125552291901	0.10133113021993813	0.1026865166496863
ABAT	0.185050681139115		0.1887971427755924	0.11814746176399818	0.14510564453961325	0.2347491698309513	0.15244841415417812	0.12285825070705066	0.13676016064759158	0.1516697518573311
ABCA1	0.15663186898348258	0.1841865296527029	0.07244376912856243	0.13486601914651433	0.14469179260780535	0.17894377066580736	0.19637816870808286	0.08954871302737005	0.21854785529437104	0.17188576785004414
ABCB10	0.23866564564879444	0.1694380375150385	0.14774208220105856	0.15831212494701086	0.16768392858966072	0.08654064077951942	0.13720608040292012	0.113214443145684	0.09514721288890077	0.26411301067233683
ABCB6	0.2071227482296784	0.17002967812909134	0.17826023974353944	0.29463165832628097	0.1260936624662472	0.15815816048865286	0.20013797045918852	0.12934951250461954	0.18399736494842756	0.2165720357454312
ABCB7	0.12974835008393598	0.17004442260474814	0.07807799181397218	0.16733070025701485	0.22409875488369613	0.14968198246282588	0.18290384413666685	0.12575123052993148	0.11402320386659452	0.0480775729799778
ABCB8	0.07858114449988905	0.1333747463405666	0.09194258506059096	0.13390982452522804	0.1292287207350942	0.07501990758836223	0.21135716472887825	0.13485055327589066	0.14495312512338002	0.0768196280669788
ABCC1	0.10648016545650764	0.08092201193501361	0.07915945138482522	0.10521096027741647	0.10874403198991484	0.09938373461110918	0.06739337920383437	0.014281121595762085	0.060694098765258574	0.0900073024970467
ABCC3	0.0622605121562385	0.1455977980686027	0.03263886038089104	0.09970945487146778	0.12073077122711165	0.04123666771283528	0.09181994477869476	0.11206319550922801	0.15719154227737947	0.13051047372426994
ABCC4	0.17949209172706626	0.08892439510207127	0.15526623865126707	0.1275027783948358	0.25684949119777883	0.19265223044285196	0.18023657925977915	0.12221096978944992	0.10560791728531116	0.11687586645700272
ABCD1	0.16294896491950212	0.1932240898397493	0.1060810197245573	0.27576534440755185	0.13409791371581442	0.10814148494980713	0.20470387583361624	0.17431442768528613	0.13519759732980258	0.11288193542026168
ABCD3	0.1592802427535788	0.1134289073742844	0.13321458756333834	0.0751881117613576	0.032564759162818493	0.1649472187866272	0.13026964088319445	0.281886089778839	0.13629078996904725	0.19006821898201354
ABCD4	0.0574444617958243	0.0823587368788469	0.21742639338834116	0.21696290972766505		0.22493478497011088	0.11649030939404405			0.3201432056775352
ABCE1	0.17292859383377993	0.2559950671155779	0.0816352671812003	0.1957099023300342	0.13924145407041127	0.08771622837254307	0.1741028057738493	0.13252841666165885	0.10481742959891163	0.03468640903046817
ABCF1	0.1439896382711157	0.16444079400238448	0.07937647238752267	0.10042319492377398	0.17148847706433354	0.1323870362862241	0.08149738269387677	0.059014594217508876	0.12517565136012726	0.1305112120951649
ABCF2	0.14881322117481516	0.16915211300245686	0.2096415229526915	0.16344015375321416	0.1604976343713508	0.09799871071608368	0.1843635239868118	0.19014318915154665	0.2533857291749508	0.13926632229992392
